MAE,MSE,MFN,MAPE
75.3901,83.0786,3.266662e-06,1.0300473
37.10621,44.766846,1.7206225e-06,0.44588992
18.742397,28.662676,1.2489276e-06,0.19410215
20.500322,33.93218,1.2185488e-06,0.14693213
18.199183,28.06985,1.1635656e-06,0.18509609
14.732056,24.316973,9.967093e-07,0.11329446
21.117266,27.891916,1.0661925e-06,0.23507659
12.897399,20.595392,8.8631793e-07,0.098996684
20.941288,27.70228,9.3163544e-07,0.21815118
11.699846,18.189486,8.372963e-07,0.09451792
17.313173,24.260132,8.662536e-07,0.16873811
11.106799,17.25116,8.0683554e-07,0.08946002
20.434725,28.138805,8.812083e-07,0.19063234
10.650053,16.472298,7.5925743e-07,0.08637786
19.834583,27.852966,8.768301e-07,0.18049936
10.305593,16.059803,7.384735e-07,0.081144445
17.11514,25.785597,8.769535e-07,0.14577658
10.229791,15.948062,7.227749e-07,0.07975835
16.226875,24.481276,8.3917763e-07,0.13792856
9.966576,15.472536,7.0914575e-07,0.07950021
14.166982,21.926567,8.0245724e-07,0.117984734
9.932509,15.580314,6.944733e-07,0.07681494
15.417769,23.784918,8.2567317e-07,0.124311425
9.750817,15.057571,6.92359e-07,0.077265084
16.05576,24.935127,8.479788e-07,0.12610947
9.688294,15.020371,6.9533445e-07,0.074359305
13.743961,21.731121,7.9216005e-07,0.11179058
9.823554,15.260234,6.993057e-07,0.0746478
12.969709,20.365583,7.556192e-07,0.10682507
10.033218,15.659218,6.8069954e-07,0.07457821
12.363817,19.233143,7.27569e-07,0.10280846
10.0223465,15.706204,6.891325e-07,0.074907795
11.183994,17.689285,7.1193483e-07,0.093063064
10.064323,15.80908,6.771827e-07,0.07477237
12.936779,20.247498,7.448884e-07,0.10466385
10.277289,16.1004,6.7462327e-07,0.07547109
12.386926,19.62104,7.343437e-07,0.10080618
10.169126,15.707032,6.904948e-07,0.07553852
11.288667,17.907713,7.1171524e-07,0.093260415
10.366979,16.005205,6.886336e-07,0.07663008
11.583405,18.5065,7.245351e-07,0.09235371
10.427224,16.15066,6.8785994e-07,0.076714806
13.198008,20.5339,7.404494e-07,0.10784313
10.844682,16.848618,6.757672e-07,0.07899726
11.382967,18.20727,7.1510857e-07,0.09145223
10.542547,16.395025,6.76036e-07,0.077448644
13.264191,20.701725,7.493392e-07,0.10610098
11.273644,17.631783,6.6938804e-07,0.08209154
11.930313,18.809662,7.161641e-07,0.096132606
11.150259,17.506355,6.7007335e-07,0.08101796
12.445135,19.456081,7.2400593e-07,0.10058783
11.172025,17.311737,6.653906e-07,0.08214199
11.325239,18.22312,7.167961e-07,0.08964813
11.785597,18.124157,6.801666e-07,0.08626494
12.789723,20.106615,7.388649e-07,0.101145275
11.369684,17.592886,6.6377606e-07,0.08454668
12.43371,19.149967,7.1596463e-07,0.10172239
11.665203,18.187088,6.689275e-07,0.08518456
12.764227,19.74722,7.3099636e-07,0.103659615
11.151397,17.533253,6.6202836e-07,0.08292372
10.737937,17.25954,7.039424e-07,0.08546208
11.734236,18.22768,6.67718e-07,0.08691043
11.906411,18.883408,7.28248e-07,0.094515465
12.159396,18.950506,6.683759e-07,0.08939901
13.038466,20.74351,7.5567124e-07,0.10058665
12.189825,18.784254,6.671064e-07,0.09116488
12.144501,18.851553,7.103672e-07,0.09838772
12.557424,19.384003,6.7020017e-07,0.09309942
12.7352915,19.705835,7.2702863e-07,0.10307218
13.076645,19.97709,6.7351624e-07,0.09774848
12.159493,19.486893,7.380652e-07,0.09378808
13.38043,20.136621,6.7800266e-07,0.09995357
13.765775,21.844976,7.8041285e-07,0.10512945
14.055679,20.873539,6.8949294e-07,0.10520336
13.271068,20.963867,7.631026e-07,0.10269837
12.987901,19.598608,6.7636114e-07,0.09723179
14.476944,22.499397,7.8387444e-07,0.111722656
14.532887,21.684862,6.8683386e-07,0.109499194
13.869641,21.726326,7.676122e-07,0.10660109
13.227098,20.25811,6.7573495e-07,0.09926934
13.502546,21.79881,7.9291203e-07,0.10096526
14.085223,21.098354,6.8402625e-07,0.10518086
13.601507,21.396048,7.6927375e-07,0.1053281
14.5794525,21.350872,6.9055613e-07,0.109883286
13.3433485,20.952253,7.5706623e-07,0.1032429
14.470579,21.393465,6.833799e-07,0.109425314
13.186032,20.98929,7.663484e-07,0.100769125
13.054757,19.642235,6.7471365e-07,0.09802139
13.556267,21.393682,7.718357e-07,0.103896394
14.28782,21.111752,6.818851e-07,0.109089546
13.598187,21.310598,7.6959105e-07,0.104651235
13.617324,20.374369,6.783762e-07,0.1024069
13.207804,21.42914,7.9449296e-07,0.09829279
14.150582,20.823038,6.8618016e-07,0.10692635
13.447357,20.988356,7.620253e-07,0.10402705
14.495892,21.275234,6.875266e-07,0.10934937
12.280073,19.593283,7.4578713e-07,0.09583472
13.792164,20.121525,6.759673e-07,0.10652651
11.620531,18.513893,7.334648e-07,0.09088006
13.959644,20.593761,6.796825e-07,0.10601236
11.737909,18.564232,7.2899394e-07,0.09245392
13.719325,20.294346,6.7849106e-07,0.10462203
12.022233,18.920921,7.2879993e-07,0.0946993
13.920657,20.605085,6.7684175e-07,0.10677159
11.812897,18.914473,7.4305166e-07,0.09133596
14.663621,21.20344,6.9236825e-07,0.111912206
12.353004,19.627596,7.46768e-07,0.09611142
13.127163,19.876204,6.7492726e-07,0.09960218
12.2990055,19.375565,7.3594117e-07,0.096090764
13.598932,20.050678,6.744937e-07,0.10398883
11.748056,18.713823,7.280622e-07,0.09161858
13.749143,20.055822,6.799564e-07,0.105331756
12.258224,18.967793,7.2343016e-07,0.09767209
14.325689,21.057377,6.846447e-07,0.10812885
11.104939,17.722582,7.2494186e-07,0.0868647
14.005319,20.493938,6.818182e-07,0.106442995
10.993759,17.430935,7.1458163e-07,0.08667813
14.052919,20.621346,6.779399e-07,0.10778972
10.7876425,17.19505,7.148541e-07,0.08482046
13.758911,20.173536,6.7816586e-07,0.10545746
10.981801,17.389349,7.1404463e-07,0.087447785
13.548432,19.863821,6.73469e-07,0.104202874
11.051146,17.524393,7.154524e-07,0.08745612
13.436981,19.607819,6.7934394e-07,0.10346341
10.299137,16.309855,7.041673e-07,0.082635194
12.890334,19.054886,6.6846343e-07,0.099673934
10.046893,15.647939,6.8312767e-07,0.08260018
13.637456,20.079079,6.8230634e-07,0.103175975
